Nom modèle,Date,Temps execution, Succès
Qwen/Qwen1.5-1.8B-Chat,"14/05, 11:17:55",149.33789,Réponse hors-sujet sans fichier
Qwen/Qwen1.5-1.8B-Chat,"14/05, 11:20:28",2.10612,Hors-sujet
Qwen/Qwen1.5-1.8B-Chat,"14/05, 11:24:52",58.6411,Réponse correcte
mistralai/Mistral-7B-Instruct-v0.2,"14/05, 11:55:00",1278.06675,Réponse correcte
mistralai/Mistral-7B-Instruct-v0.2,"14/05, 13:44:37",321.61046,Réponse correcte
mistralai/Mistral-7B-Instruct-v0.2,"14/05, 13:51:41",34.04488,Hors-sujet
mistralai/Mistral-7B-Instruct-v0.2,"14/05, 14:07:30",788.20618,Réponse hors-sujet sans fichier
mistralai/Mistral-7B-Instruct-v0.2,"15/05, 09:28:48",220.20516,Réponse hors-sujet sans fichier
mistralai/Mistral-7B-Instruct-v0.2,"15/05, 09:35:15",252.59184,Réponse correcte
mistralai/Mistral-7B-Instruct-v0.2,"15/05, 09:57:50",102.24089,Réponse correcte
google/flan-t5-base,"15/05, 12:11:07",72.16641,Réponse correcte
google/flan-t5-base,"16/05, 09:12:38",1.94065,Réponse correcte
google/flan-t5-base,"16/05, 09:17:08",0.84658,Hors-sujet
google/flan-t5-base,"16/05, 09:19:24",8.21025,Réponse correcte
google/flan-t5-base,"16/05, 09:20:33",3.12944,Réponse correcte
google/flan-t5-base,"16/05, 09:26:08",5.94241,Réponse correcte
google/flan-t5-base,"16/05, 09:26:47",1.37545,Réponse correcte
google/flan-t5-base,"16/05, 10:59:26",0.76763,Hors-sujet
google/flan-t5-base,"16/05, 11:00:42",8.02853,Réponse correcte
google/flan-t5-base,"16/05, 12:07:49",2.66608,Réponse correcte
google/flan-t5-base,"16/05, 13:28:57",3.9098,Réponse correcte
google/flan-t5-base,"16/05, 13:34:46",4.43984,Réponse correcte
google/flan-t5-base,"16/05, 15:01:16",0.65573,Hors-sujet
mistralai/Mistral-7B-Instruct-v0.2,"16/05, 15:11:02",198.72524,Réponse correcte
google/flan-t5-base,"16/05, 15:20:11",0.8523,Hors-sujet
mistralai/Mistral-7B-Instruct-v0.2,"16/05, 15:27:07",217.98665,Réponse correcte
mistralai/Mistral-7B-Instruct-v0.2,"16/05, 15:30:47",154.2682,Réponse correcte
google/flan-t5-large,"17/05, 13:17:32",0.68529,Hors-sujet
google/flan-t5-large,"17/05, 13:19:49",5.78124,Réponse correcte
google/flan-t5-large,"17/05, 14:10:20",17.22584,Réponse correcte
google/flan-t5-large,"17/05, 14:13:44",5.09812,Réponse correcte
google/flan-t5-large,"17/05, 14:16:31",3.25476,Réponse correcte
google/flan-t5-large,"17/05, 14:18:01",3.727,Réponse correcte
google/flan-t5-large,"17/05, 14:19:25",5.70909,Réponse correcte
google/flan-t5-large,"17/05, 14:20:42",5.22178,Réponse correcte
google/flan-t5-xl,"19/05, 15:24:05",499.41629,Réponse correcte
google/flan-t5-xl,"19/05, 15:25:50",71.68101,Réponse correcte
google/flan-t5-xl,"19/05, 15:30:40",40.08801,Réponse correcte
google/flan-t5-xl,"19/05, 15:33:39",31.95812,Réponse correcte
google/flan-t5-xl,"19/05, 15:38:11",55.99886,Réponse correcte
google/flan-t5-large,"19/05, 15:40:12",17.90375,Réponse correcte
google/flan-t5-xl,"19/05, 15:44:05",57.20931,Réponse correcte
google/flan-t5-xl,"19/05, 15:53:32",57.62386,Réponse correcte
mistralai/Mistral-7B-Instruct-v0.2,"19/05, 16:05:31",459.35207,Réponse correcte
mistralai/Mistral-7B-Instruct-v0.2,"19/05, 16:24:30",190.71263,Réponse correcte
mistralai/Mistral-7B-Instruct-v0.2,"19/05, 16:42:02",436.76895,Réponse correcte
mistralai/Mistral-7B-Instruct-v0.2,"21/05, 14:55:06",173.15111,Réponse correcte
